#A_id	B_id	A_length	B_length	A_qcovhsp	B_qcovhsp	length	pident	bitscore
gi|50118966|ref|YP_048133.1|	1_1	147	147	100	100	147	69.39	  220
gi|50118967|ref|YP_048134.1|	1_2	153	154	99	99	152	92.76	  296
gi|50118969|ref|YP_048136.1|	1_3	492	491	99	100	491	73.52	  779
gi|50118970|ref|YP_048137.1|	1_4	499	498	99	100	498	74.50	  749
gi|50118971|ref|YP_048138.1|	1_5	622	622	100	100	622	88.91	 1131
gi|50118972|ref|YP_048139.1|	1_6	449	456	95	100	434	64.91	  559
gi|50118973|ref|YP_048140.1|	1_7	220	223	99	98	219	82.19	  348
gi|50118974|ref|YP_048141.1|	1_8	131	135	100	99	134	57.46	  154
gi|50118975|ref|YP_048142.1|	1_9	139	139	100	100	139	84.17	  248
gi|50118976|ref|YP_048143.1|	1_10	501	501	100	100	501	89.62	  927
gi|50118977|ref|YP_048144.1|	1_11	322	322	100	100	322	90.68	  570
gi|50118978|ref|YP_048145.1|	1_12	295	296	100	99	295	90.17	  537
gi|50118979|ref|YP_048146.1|	1_13	308	308	100	100	308	86.36	  506
gi|50118980|ref|YP_048147.1|	1_14	331	334	99	99	330	82.42	  577
gi|50118981|ref|YP_048148.1|	1_16	173	175	95	94	164	65.24	  227
gi|50118982|ref|YP_048149.1|	1_17	196	191	95	98	187	59.89	  235
gi|50118983|ref|YP_048150.1|	1_18	89	89	100	100	89	88.76	  166
gi|50118984|ref|YP_048151.1|	1_19	331	328	99	100	328	71.34	  498
gi|50118985|ref|YP_048152.1|	1_20	207	207	100	100	207	81.64	  363
gi|50118986|ref|YP_048153.1|	1_21	929	1001	58	54	538	83.27	  927
gi|50118987|ref|YP_048154.1|	1_22	211	214	100	99	211	85.78	  375
gi|50118988|ref|YP_048155.1|	1_23	184	177	100	100	185	59.04	  161
gi|50118989|ref|YP_048156.1|	1_25	457	457	100	100	457	82.49	  790
gi|50118990|ref|YP_048157.1|	1_27	470	470	100	100	470	95.96	  929
gi|50118991|ref|YP_048158.1|	1_28	349	349	100	100	349	94.27	  645
gi|50118992|ref|YP_048159.1|	1_29	469	469	100	100	469	91.68	  906
gi|50118993|ref|YP_048160.1|	1_30	607	607	99	99	606	88.61	 1116
gi|50118994|ref|YP_048161.1|	1_31	203	203	100	100	203	73.89	  294
gi|50118995|ref|YP_048162.1|	1_32	145	145	99	99	144	82.64	  254
gi|50118996|ref|YP_048163.1|	1_33	328	313	95	99	312	88.14	  580
gi|50118997|ref|YP_048164.1|	1_34	563	575	99	98	562	73.84	  815
gi|50118998|ref|YP_048165.1|	1_35	462	462	99	97	450	91.52	  806
gi|50118999|ref|YP_048166.1|	1_36	693	693	100	100	693	86.58	 1212
gi|50119000|ref|YP_048167.1|	1_37	230	230	99	99	228	84.65	  421
gi|50119001|ref|YP_048168.1|	1_38	699	700	100	100	700	93.71	 1382
gi|50119002|ref|YP_048169.1|	1_39	91	91	100	100	91	92.31	  133
gi|50119003|ref|YP_048170.1|	1_40	207	207	100	100	207	89.86	  362
gi|50119005|ref|YP_048172.1|	1_41	563	560	99	97	541	55.52	  638
gi|50119006|ref|YP_048173.1|	1_42	561	506	89	99	502	77.09	  830
gi|50119008|ref|YP_048175.1|	1_2602	535	501	94	94	481	27.06	  194
gi|50119009|ref|YP_048176.1|	1_73	399	394	99	99	395	84.81	  699
gi|50119010|ref|YP_048177.1|	1_74	501	502	100	100	502	85.26	  840
gi|50119011|ref|YP_048178.1|	1_75	111	112	100	99	111	89.19	  213
gi|50119012|ref|YP_048179.1|	1_76	145	144	99	99	143	93.71	  280
gi|50119013|ref|YP_048180.1|	1_817	447	242	15	28	68	33.82	30.0
