#A_id	B_id	A_length	B_length	A_qcovhsp	B_qcovhsp	length	pident	bitscore
gi|50118966|ref|YP_048133.1|	1_4221	147	147	100	100	147	67.35	  215
gi|50118967|ref|YP_048134.1|	1_4222	153	154	99	99	152	92.11	  296
gi|50118969|ref|YP_048136.1|	1_4223	492	491	99	100	491	73.73	  778
gi|50118970|ref|YP_048137.1|	1_4224	499	498	99	100	498	74.10	  744
gi|50118971|ref|YP_048138.1|	1_4225	622	622	100	100	622	88.91	 1130
gi|50118975|ref|YP_048142.1|	1_4226	139	139	100	100	139	84.89	  249
gi|50118976|ref|YP_048143.1|	1_4227	501	501	100	100	501	90.02	  932
gi|50118977|ref|YP_048144.1|	1_4228	322	322	100	100	322	90.68	  563
gi|50118978|ref|YP_048145.1|	1_4229	295	296	100	99	295	90.17	  537
gi|50118979|ref|YP_048146.1|	1_4230	308	308	100	100	308	86.69	  508
gi|50118980|ref|YP_048147.1|	1_4231	331	334	99	99	330	82.42	  576
gi|50118981|ref|YP_048148.1|	1_1	173	175	95	94	164	64.02	  226
gi|50118982|ref|YP_048149.1|	1_2	196	191	97	100	191	60.73	  241
gi|50118983|ref|YP_048150.1|	1_3	89	89	100	100	89	88.76	  166
gi|50118984|ref|YP_048151.1|	1_4	331	328	99	100	328	71.65	  500
gi|50118985|ref|YP_048152.1|	1_5	207	207	100	100	207	81.64	  360
gi|50118986|ref|YP_048153.1|	1_6	929	944	100	100	945	80.42	 1556
gi|50118987|ref|YP_048154.1|	1_7	211	214	100	99	211	85.78	  374
gi|50118988|ref|YP_048155.1|	1_8	184	177	100	100	185	58.38	  153
gi|50118989|ref|YP_048156.1|	1_10	457	457	100	100	457	82.49	  791
gi|50118990|ref|YP_048157.1|	1_12	470	470	100	100	470	96.17	  931
gi|50118991|ref|YP_048158.1|	1_13	349	349	100	100	349	93.98	  645
gi|50118992|ref|YP_048159.1|	1_14	469	469	100	100	469	91.26	  904
gi|50118993|ref|YP_048160.1|	1_15	607	607	99	99	606	88.12	 1113
gi|50118994|ref|YP_048161.1|	1_16	203	203	100	100	203	74.38	  320
gi|50118995|ref|YP_048162.1|	1_17	145	145	100	100	145	81.38	  251
gi|50118996|ref|YP_048163.1|	1_18	328	313	95	99	312	87.18	  574
gi|50118997|ref|YP_048164.1|	1_19	563	583	99	96	562	73.31	  810
gi|50118998|ref|YP_048165.1|	1_20	462	462	99	97	450	90.43	  816
gi|50118999|ref|YP_048166.1|	1_21	693	693	100	100	693	86.00	 1203
gi|50119000|ref|YP_048167.1|	1_22	230	230	99	99	228	85.09	  417
gi|50119001|ref|YP_048168.1|	1_23	699	700	100	100	700	93.57	 1380
gi|50119002|ref|YP_048169.1|	1_24	91	91	100	100	91	93.41	  134
gi|50119003|ref|YP_048170.1|	1_25	207	207	100	100	207	89.86	  362
gi|50119005|ref|YP_048172.1|	1_26	563	560	99	97	541	55.69	  643
gi|50119006|ref|YP_048173.1|	1_27	561	604	98	91	550	74.91	  866
gi|50119008|ref|YP_048175.1|	1_2565	535	501	94	93	484	26.83	  204
gi|50119009|ref|YP_048176.1|	1_52	399	402	99	98	395	83.54	  692
gi|50119010|ref|YP_048177.1|	1_53	501	502	100	100	502	85.26	  868
gi|50119011|ref|YP_048178.1|	1_54	111	112	100	99	111	88.29	  211
gi|50119012|ref|YP_048179.1|	1_55	145	144	99	99	143	93.71	  278
gi|50119013|ref|YP_048180.1|	1_2889	447	424	86	91	397	32.24	  171
gi|50119014|ref|YP_048181.1|	1_1913	437	436	99	100	436	59.40	  548
gi|50119016|ref|YP_048183.1|	1_4149	248	250	100	99	248	85.08	  370
gi|50119017|ref|YP_048184.1|	1_4148	680	680	99	99	679	84.83	 1198
gi|50119022|ref|YP_048189.1|	1_4147	97	102	95	89	92	63.04	  121
gi|50119023|ref|YP_048190.1|	1_4146	280	280	100	100	280	82.50	  484
gi|50119024|ref|YP_048191.1|	1_4144	450	450	100	100	450	89.78	  819
gi|50119026|ref|YP_048193.1|	1_2282	83	97	76	63	64	35.94	42.4
gi|50119027|ref|YP_048194.1|	1_3507	301	299	96	96	291	51.55	  291
gi|50119028|ref|YP_048195.1|	1_1518	251	250	91	91	228	70.18	  357
gi|50119029|ref|YP_048196.1|	1_623	207	216	96	95	206	33.01	  108
gi|50119030|ref|YP_048197.1|	1_2116	290	168	54	95	161	54.04	  159
