gi|50118966|ref|YP_048133.1|	gi|188532166|ref|YP_001905963.1|
gi|50118967|ref|YP_048134.1|	gi|188532167|ref|YP_001905964.1|
gi|50118968|ref|YP_048135.1|	gi|188533115|ref|YP_001906912.1|
gi|50118969|ref|YP_048136.1|	gi|188532169|ref|YP_001905966.1|
gi|50118970|ref|YP_048137.1|	gi|188532170|ref|YP_001905967.1|
gi|50118971|ref|YP_048138.1|	gi|188532171|ref|YP_001905968.1|
gi|50118972|ref|YP_048139.1|	gi|188532492|ref|YP_001906289.1|
gi|50118973|ref|YP_048140.1|	gi|188532493|ref|YP_001906290.1|
gi|50118974|ref|YP_048141.1|	gi|188534760|ref|YP_001908557.1|
gi|50118975|ref|YP_048142.1|	gi|188532178|ref|YP_001905975.1|
gi|50118976|ref|YP_048143.1|	gi|188532179|ref|YP_001905976.1|
gi|50118977|ref|YP_048144.1|	gi|188532180|ref|YP_001905977.1|
gi|50118978|ref|YP_048145.1|	gi|188532181|ref|YP_001905978.1|
gi|50118979|ref|YP_048146.1|	gi|188532182|ref|YP_001905979.1|
gi|50118980|ref|YP_048147.1|	gi|188532183|ref|YP_001905980.1|
gi|50118981|ref|YP_048148.1|	gi|188532649|ref|YP_001906446.1|
gi|50118982|ref|YP_048149.1|	gi|188532185|ref|YP_001905982.1|
gi|50118983|ref|YP_048150.1|	gi|188532186|ref|YP_001905983.1|
gi|50118984|ref|YP_048151.1|	gi|188532187|ref|YP_001905984.1|
gi|50118985|ref|YP_048152.1|	gi|188532188|ref|YP_001905985.1|
gi|50118986|ref|YP_048153.1|	gi|188532189|ref|YP_001905986.1|
gi|50118987|ref|YP_048154.1|	gi|188532190|ref|YP_001905987.1|
gi|50118988|ref|YP_048155.1|	gi|188532191|ref|YP_001905988.1|
gi|50118989|ref|YP_048156.1|	gi|188532192|ref|YP_001905989.1|
gi|50118990|ref|YP_048157.1|	gi|188532193|ref|YP_001905990.1|
gi|50118991|ref|YP_048158.1|	gi|188532194|ref|YP_001905991.1|
gi|50118992|ref|YP_048159.1|	gi|188532195|ref|YP_001905992.1|
gi|50118993|ref|YP_048160.1|	gi|188532196|ref|YP_001905993.1|
gi|50118994|ref|YP_048161.1|	gi|188532197|ref|YP_001905994.1|
gi|50118995|ref|YP_048162.1|	gi|188532199|ref|YP_001905996.1|
gi|50118996|ref|YP_048163.1|	gi|188532200|ref|YP_001905997.1|
gi|50118997|ref|YP_048164.1|	gi|188532202|ref|YP_001905999.1|
gi|50118998|ref|YP_048165.1|	gi|188532203|ref|YP_001906000.1|
gi|50118999|ref|YP_048166.1|	gi|188532204|ref|YP_001906001.1|
gi|50119000|ref|YP_048167.1|	gi|188532205|ref|YP_001906002.1|
gi|50119001|ref|YP_048168.1|	gi|188532206|ref|YP_001906003.1|
gi|50119002|ref|YP_048169.1|	gi|188532207|ref|YP_001906004.1|
gi|50119003|ref|YP_048170.1|	gi|188532208|ref|YP_001906005.1|
gi|50119004|ref|YP_048171.1|	gi|188533752|ref|YP_001907549.1|
gi|50119005|ref|YP_048172.1|	gi|188532209|ref|YP_001906006.1|
gi|50119006|ref|YP_048173.1|	gi|188535509|ref|YP_001909306.1|
gi|50119007|ref|YP_048174.1|	gi|188534330|ref|YP_001908127.1|
gi|50119008|ref|YP_048175.1|	gi|188535408|ref|YP_001909205.1|
gi|50119009|ref|YP_048176.1|	gi|188535427|ref|YP_001909224.1|
gi|50119010|ref|YP_048177.1|	gi|188535428|ref|YP_001909225.1|
gi|50119011|ref|YP_048178.1|	gi|188535429|ref|YP_001909226.1|
gi|50119012|ref|YP_048179.1|	gi|188535430|ref|YP_001909227.1|
gi|50119013|ref|YP_048180.1|	gi|188533882|ref|YP_001907679.1|
gi|50119014|ref|YP_048181.1|	gi|188533526|ref|YP_001907323.1|
gi|50119015|ref|YP_048182.1|	gi|188535065|ref|YP_001908862.1|
gi|50119016|ref|YP_048183.1|	gi|188535431|ref|YP_001909228.1|
gi|50119017|ref|YP_048184.1|	gi|188535432|ref|YP_001909229.1|
gi|50119018|ref|YP_048185.1|	gi|188535153|ref|YP_001908950.1|
gi|50119019|ref|YP_048186.1|	gi|188535151|ref|YP_001908948.1|
gi|50119020|ref|YP_048187.1|	gi|188535152|ref|YP_001908949.1|
gi|50119021|ref|YP_048188.1|	gi|188535378|ref|YP_001909175.1|
gi|50119022|ref|YP_048189.1|	gi|188534844|ref|YP_001908641.1|
gi|50119023|ref|YP_048190.1|	gi|188535434|ref|YP_001909231.1|
gi|50119024|ref|YP_048191.1|	gi|188535439|ref|YP_001909236.1|
gi|50119025|ref|YP_048192.1|	gi|188534284|ref|YP_001908081.1|
gi|50119026|ref|YP_048193.1|	gi|188534921|ref|YP_001908718.1|
gi|50119027|ref|YP_048194.1|	gi|188535462|ref|YP_001909259.1|
gi|50119028|ref|YP_048195.1|	gi|188534906|ref|YP_001908703.1|
gi|50119029|ref|YP_048196.1|	gi|188534904|ref|YP_001908701.1|
gi|50119030|ref|YP_048197.1|	gi|188533945|ref|YP_001907742.1|
gi|50119031|ref|YP_048198.1|	gi|188532578|ref|YP_001906375.1|
gi|50119032|ref|YP_048199.1|	gi|188533773|ref|YP_001907570.1|
gi|50119033|ref|YP_048200.1|	gi|188533384|ref|YP_001907181.1|
gi|50119034|ref|YP_048201.1|	gi|188534318|ref|YP_001908115.1|
gi|50119034|ref|YP_048201.1|	gi|188534318|ref|YP_001908115.1|
gi|50119035|ref|YP_048202.1|	gi|188534315|ref|YP_001908112.1|
gi|50119036|ref|YP_048203.1|	gi|188534316|ref|YP_001908113.1|
gi|50119037|ref|YP_048204.1|	gi|188534317|ref|YP_001908114.1|
gi|50119038|ref|YP_048205.1|	gi|188532659|ref|YP_001906456.1|
gi|161501886|ref|YP_048206.2|	gi|188535550|ref|YP_001909347.1|
gi|50119040|ref|YP_048207.1|	gi|188534621|ref|YP_001908418.1|
gi|50119041|ref|YP_048208.1|	gi|188533606|ref|YP_001907403.1|
gi|50119042|ref|YP_048209.1|	gi|188533864|ref|YP_001907661.1|
gi|50119043|ref|YP_048210.1|	gi|188535544|ref|YP_001909341.1|
gi|50119044|ref|YP_048211.1|	gi|188533713|ref|YP_001907510.1|
gi|50119045|ref|YP_048212.1|	gi|188535521|ref|YP_001909318.1|
gi|50119046|ref|YP_048213.1|	gi|188535522|ref|YP_001909319.1|
gi|50119047|ref|YP_048214.1|	gi|188535525|ref|YP_001909322.1|
gi|50119048|ref|YP_048215.1|	gi|188535527|ref|YP_001909324.1|
gi|50119049|ref|YP_048216.1|	gi|188535528|ref|YP_001909325.1|
gi|50119050|ref|YP_048217.1|	gi|188535529|ref|YP_001909326.1|
gi|50119051|ref|YP_048218.1|	gi|188535530|ref|YP_001909327.1|
