#A_id	B_id	A_length	B_length	A_qcovhsp	B_qcovhsp	length	pident	bitscore
gi|50118966|ref|YP_048133.1|	1_4041	147	147	100	100	147	68.71	  215
gi|50118967|ref|YP_048134.1|	1_4040	153	153	100	100	153	92.81	  299
gi|50118969|ref|YP_048136.1|	1_4038	492	320	63	98	314	65.29	  423
gi|50118970|ref|YP_048137.1|	1_4037	499	499	99	100	499	76.15	  767
gi|50118971|ref|YP_048138.1|	1_4036	622	622	100	100	622	89.23	 1137
gi|50118972|ref|YP_048139.1|	1_2625	449	466	56	67	254	30.79	  124
gi|50118975|ref|YP_048142.1|	1_4035	139	139	100	100	139	75.54	  230
gi|50118976|ref|YP_048143.1|	1_4034	501	501	100	100	501	86.83	  900
gi|50118977|ref|YP_048144.1|	1_4033	322	322	100	100	322	90.06	  562
gi|50118978|ref|YP_048145.1|	1_4032	295	296	100	99	295	87.80	  529
gi|50118979|ref|YP_048146.1|	1_4031	308	308	100	100	308	85.71	  517
gi|50118980|ref|YP_048147.1|	1_4030	331	338	99	98	330	81.52	  570
gi|50118981|ref|YP_048148.1|	1_4029	173	173	95	96	166	62.65	  225
gi|50118982|ref|YP_048149.1|	1_4028	196	192	96	99	191	57.59	  233
gi|50118983|ref|YP_048150.1|	1_4027	89	89	100	100	89	88.76	  165
gi|50118984|ref|YP_048151.1|	1_4026	331	328	99	100	328	70.43	  486
gi|50118985|ref|YP_048152.1|	1_4025	207	207	100	100	207	79.71	  356
gi|50118986|ref|YP_048153.1|	1_4024	929	931	100	100	935	80.43	 1535
gi|50118987|ref|YP_048154.1|	1_4023	211	220	99	95	208	83.17	  363
gi|50118988|ref|YP_048155.1|	1_4022	184	176	100	100	191	58.12	  146
gi|50118989|ref|YP_048156.1|	1_4020	457	457	100	100	457	80.96	  787
gi|50118990|ref|YP_048157.1|	1_4018	470	470	100	100	470	96.38	  932
gi|50118991|ref|YP_048158.1|	1_4017	349	349	100	100	349	94.84	  647
gi|50118992|ref|YP_048159.1|	1_4016	469	469	100	100	469	90.41	  900
gi|50118993|ref|YP_048160.1|	1_4015	607	607	99	99	606	87.79	 1110
gi|50118994|ref|YP_048161.1|	1_4014	203	198	97	99	197	73.10	  307
gi|50118995|ref|YP_048162.1|	1_4013	145	145	99	99	144	79.17	  244
gi|50118996|ref|YP_048163.1|	1_4012	328	313	92	96	302	82.45	  531
gi|50118997|ref|YP_048164.1|	1_4011	563	575	99	98	563	67.50	  765
gi|50118998|ref|YP_048165.1|	1_4010	462	462	99	96	445	89.57	  818
gi|50118999|ref|YP_048166.1|	1_4009	693	693	100	100	693	85.28	 1197
gi|50119000|ref|YP_048167.1|	1_4008	230	230	99	99	228	85.96	  420
gi|50119001|ref|YP_048168.1|	1_4007	699	700	100	100	700	93.86	 1375
