#A_id	B_id	A_length	B_length	A_qcovhsp	B_qcovhsp	length	pident	bitscore
gi|50118966|ref|YP_048133.1|	1_4077	147	147	100	100	147	67.35	  215
gi|50118967|ref|YP_048134.1|	1_4076	153	154	99	99	152	92.11	  296
gi|50118969|ref|YP_048136.1|	1_4075	492	491	99	100	491	72.10	  738
gi|50118970|ref|YP_048137.1|	1_4074	499	498	99	100	498	74.50	  750
gi|50118971|ref|YP_048138.1|	1_4073	622	622	100	100	622	88.75	 1129
gi|50118972|ref|YP_048139.1|	1_4072	449	449	95	100	425	63.92	  522
gi|50118973|ref|YP_048140.1|	1_4071	220	223	99	97	217	78.34	  332
gi|50118974|ref|YP_048141.1|	1_4070	131	133	82	98	108	58.33	  136
gi|50118975|ref|YP_048142.1|	1_4069	139	139	100	100	139	80.58	  241
gi|50118976|ref|YP_048143.1|	1_4068	501	501	100	100	501	89.02	  921
gi|50118977|ref|YP_048144.1|	1_4067	322	322	100	100	322	90.99	  567
gi|50118978|ref|YP_048145.1|	1_4066	295	296	100	99	295	89.49	  533
gi|50118979|ref|YP_048146.1|	1_4065	308	308	100	100	308	86.04	  499
gi|50118980|ref|YP_048147.1|	1_4064	331	341	99	98	335	79.40	  561
gi|50118981|ref|YP_048148.1|	1_4063	173	172	95	95	164	64.02	  221
gi|50118982|ref|YP_048149.1|	1_4062	196	191	96	98	188	62.77	  241
gi|50118983|ref|YP_048150.1|	1_4061	89	89	100	100	89	87.64	  163
gi|50118984|ref|YP_048151.1|	1_4060	331	328	99	100	328	71.65	  496
gi|50118985|ref|YP_048152.1|	1_4059	207	207	100	100	207	81.16	  359
gi|50118986|ref|YP_048153.1|	1_4058	929	928	100	100	935	81.50	 1570
gi|50118987|ref|YP_048154.1|	1_4057	211	214	98	97	207	86.96	  375
gi|50118988|ref|YP_048155.1|	1_4056	184	177	100	100	185	57.98	  160
gi|50118989|ref|YP_048156.1|	1_4054	457	457	100	100	457	82.28	  795
gi|50118990|ref|YP_048157.1|	1_4052	470	470	100	100	470	96.17	  931
gi|50118991|ref|YP_048158.1|	1_4051	349	349	100	100	349	94.56	  646
gi|50118992|ref|YP_048159.1|	1_4050	469	469	100	100	469	91.90	  906
gi|50118993|ref|YP_048160.1|	1_4049	607	607	99	99	606	88.45	 1116
gi|50118994|ref|YP_048161.1|	1_4048	203	203	100	100	203	73.40	  291
gi|50118995|ref|YP_048162.1|	1_4047	145	145	99	99	144	79.86	  246
gi|50118996|ref|YP_048163.1|	1_4046	328	313	95	99	312	87.82	  577
gi|50118997|ref|YP_048164.1|	1_4045	563	582	99	97	562	73.13	  812
gi|50118998|ref|YP_048165.1|	1_4044	462	462	99	97	450	90.87	  807
gi|50118999|ref|YP_048166.1|	1_4043	693	693	100	100	693	87.30	 1216
gi|50119000|ref|YP_048167.1|	1_4042	230	230	99	99	228	85.96	  422
gi|50119001|ref|YP_048168.1|	1_4041	699	700	100	100	700	93.71	 1381
gi|50119002|ref|YP_048169.1|	1_4040	91	91	100	100	91	93.41	  134
gi|50119003|ref|YP_048170.1|	1_4039	207	207	100	100	207	88.41	  360
gi|50119005|ref|YP_048172.1|	1_4038	563	560	97	97	542	57.40	  651
gi|50119006|ref|YP_048173.1|	1_4037	561	560	99	99	557	73.61	  882
gi|50119008|ref|YP_048175.1|	1_1606	535	501	94	93	486	25.77	  191
gi|50119009|ref|YP_048176.1|	1_4012	399	394	99	99	395	82.78	  686
gi|50119010|ref|YP_048177.1|	1_4011	501	502	100	100	502	84.06	  855
gi|50119011|ref|YP_048178.1|	1_4010	111	112	100	99	111	86.49	  207
gi|50119012|ref|YP_048179.1|	1_4008	145	144	99	99	143	93.01	  278
gi|50119014|ref|YP_048181.1|	1_2242	437	446	99	98	436	59.86	  555
gi|50119016|ref|YP_048183.1|	1_6	248	250	100	99	248	84.68	  395
gi|50119017|ref|YP_048184.1|	1_7	680	680	100	100	680	85.74	 1219
gi|50119022|ref|YP_048189.1|	1_8	97	94	95	97	92	63.04	  119
gi|50119023|ref|YP_048190.1|	1_9	280	280	100	100	280	83.57	  492
gi|50119024|ref|YP_048191.1|	1_14	450	450	100	100	450	89.33	  818
gi|50119027|ref|YP_048194.1|	1_571	301	300	96	96	292	50.34	  277
gi|50119029|ref|YP_048196.1|	1_3336	207	218	98	97	212	32.08	  101
gi|50119030|ref|YP_048197.1|	1_2042	290	298	99	97	289	53.98	  298
gi|50119031|ref|YP_048198.1|	1_2041	169	168	99	100	168	78.57	  290
gi|50119032|ref|YP_048199.1|	1_27	378	372	98	99	372	70.70	  530
gi|50119033|ref|YP_048200.1|	1_28	344	346	100	100	346	78.32	  535
gi|50119034|ref|YP_048201.1|	1_29	565	558	98	100	558	79.39	  868
gi|50119035|ref|YP_048202.1|	1_30	286	286	100	100	286	81.47	  422
gi|50119036|ref|YP_048203.1|	1_31	314	313	98	98	307	80.13	  406
gi|50119037|ref|YP_048204.1|	1_32	545	547	95	96	519	84.95	  896
gi|50119038|ref|YP_048205.1|	1_3886	400	503	45	33	180	24.44	37.4
gi|161501886|ref|YP_048206.2|	1_37	320	320	100	100	320	75.31	  484
gi|50119041|ref|YP_048208.1|	1_2039	650	653	100	100	657	58.75	  748
gi|50119042|ref|YP_048209.1|	1_38	147	151	95	93	140	62.14	  186
gi|50119043|ref|YP_048210.1|	1_39	187	186	99	100	186	79.57	  320
gi|50119044|ref|YP_048211.1|	1_40	247	268	96	88	236	89.83	  387
gi|50119045|ref|YP_048212.1|	1_41	304	304	100	100	304	96.71	  621
gi|50119046|ref|YP_048213.1|	1_42	689	694	100	100	694	87.32	 1222
gi|50119047|ref|YP_048214.1|	1_50	234	236	97	96	227	55.51	  264
gi|50119048|ref|YP_048215.1|	1_51	635	635	100	100	636	85.69	 1068
gi|50119049|ref|YP_048216.1|	1_52	382	383	100	99	382	82.72	  626
